date,contact,travel,under_inv,total,under_20yrs,youthadults_20_39,rubyage_40_49,goldage_50_59,diamondage_60_69,platinumage_70up,days_since
2021-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-12-19,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-12-22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-12-23,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2021-12-24,0.0,0.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
2021-12-29,0.0,0.0,16.0,16.0,0.0,12.0,1.0,1.0,2.0,0.0,5.0
2021-12-30,0.0,0.0,66.0,66.0,17.0,23.0,10.0,12.0,4.0,0.0,1.0
2021-12-31,0.0,0.0,92.0,92.0,19.0,41.0,14.0,14.0,3.0,1.0,1.0
2022-01-03,0.0,0.0,125.0,125.0,25.0,38.0,20.0,18.0,9.0,5.0,4.0
